analysis_id,stratum_1,stratum_2,stratum_3,stratum_4,stratum_5,count_value,min_value,max_value,avg_value,stdev_value,median_value,p10_value,p25_value,p75_value,p90_value
0,EUNOMIA,,,,,2694,,,,,,,,,
2000000,0.16,,,,,1,,,,,,,,,
103,,,,,,2694,0,1,0.000742390497401633,0.0272417845092311,0,0,0,0,0
2000103,0.03,,,,,1,,,,,,,,,
104,8507,,,,,1321,0,1,0.000757002271006813,0.0275136742549375,0,0,0,0,0
104,8532,,,,,1373,0,1,0.000728332119446468,0.0269876290075002,0,0,0,0,0
2000104,0.04,,,,,1,,,,,,,,,
105,,,,,,5343,0,40348,14401.001497286169,8725.340828311304,13867,2800,7098,20958,25893
2000105,1.32,,,,,1,,,,,,,,,
106,8507,,,,,1321,11438,40005,21534.912944738834,5287.442575301656,20972,15351,17556,24703,28644
106,8532,,,,,1373,11396,40348,21665.768390386016,5623.525165407196,20860,15190,17381,24682,29435
2000106,0.42,,,,,1,,,,,,,,,
107,0,,,,,2694,11396,40348,21601.603563474388,5460.692649325677,20867,15253,17493,24703,29109
2000107,0.6,,,,,1,,,,,,,,,
203,,,,,,890,1,1,1.00000000000000000000,0,1,1,1,1,1
2000203,0.03,,,,,1,,,,,,,,,
206,9201,8507,,,,448,1,98,34.1383928571429,16.3015089434044,37,9,24,42,49
206,9201,8532,,,,442,1,102,36.893665158371,17.0211288107439,37,13,31,42,54
2000206,0.03,,,,,1,,,,,,,,,
213,9201,,,,,1037,1,5,1.2584378013500482,0.71978296629586799831,1,1,1,1,2
2000213,0.03,,,,,1,,,,,,,,,
403,,,,,,2694,4,29,12.2275426874536006,3.4298181519919876,12,8,10,14,17
2000403,0.07,,,,,1,,,,,,,,,
406,28060,8507,,,,824,0,84,18.0643203883495,17.4394139928042,11,2,5,28,46
406,28060,8532,,,,853,0,100,16.6799531066823,16.8898539979751,10,2,5,23,43
406,30753,8507,,,,193,31,44,37.3626943005181,3.07934263054137,37,33,35,40,41
406,30753,8532,,,,215,31,44,37.9302325581395,3.27975486915391,38,33,35,41,42
406,78272,8507,,,,321,0,90,24.0685358255452,19.5830357238604,18,3,8,35,54
406,78272,8532,,,,356,1,97,25.6376404494382,19.7991503316041,19,4,10,38,56
406,80180,8507,,,,1289,31,47,38.5709852598914,3.21291005657097,39,34,36,41,43
406,80180,8532,,,,1341,31,47,38.6726323639075,3.40360713043161,39,34,36,41,43
406,80502,8507,,,,54,60,91,68.4444444444444,9.91028942453183,61,60,60,80,81
406,80502,8532,,,,117,60,91,69.9487179487179,10.3780655245489,70,60,60,80,90
406,80809,8507,,,,10,30,61,43.1,9.58528965539267,41,30,39,44,57
406,80809,8532,,,,8,25,78,50.125,20.1170680908384,41,25,32,65,78
406,81151,8507,,,,674,0,95,22.3160237388724,18.8957288562743,16,3,7,35,52
406,81151,8532,,,,683,0,94,22.4187408491947,18.7579988848992,16,3,7,34,50
406,81893,8507,,,,211,31,45,37.0236966824645,3.20184583414874,37,33,35,39,42
406,81893,8532,,,,202,31,44,37.2178217821782,3.44279176428948,37,33,35,40,42
406,133834,8507,,,,24,0,6,1.83333333333333,2.07818203719264,1,0,0,3,5
406,133834,8532,,,,30,0,5,1.53333333333333,1.54770872545533,1,0,0,2,4
406,134438,8507,,,,53,18,34,25.8679245283019,4.96153564878803,25,19,22,30,33
406,134438,8532,,,,60,18,34,25.8166666666667,4.66683817279681,26,19,22,29,33
406,140673,8507,,,,5,50,73,65,8.74642784226795,67,50,67,68,73
406,140673,8532,,,,26,53,74,62.3076923076923,7.63030395603861,59,54,55,70,72
406,192671,8507,,,,237,32,47,39.1223628691983,3.28546586021153,39,35,37,42,44
406,192671,8532,,,,242,32,46,38.7231404958678,3.28611464079712,39,34,36,41,43
406,195588,8507,,,,7,57,61,59,1.52752523165195,59,57,58,61,61
406,195588,8532,,,,282,16,61,36.0815602836879,10.904816937129,35,22,27,44,52
406,196456,8507,,,,6,11,78,50.1666666666667,23.6593885522569,55,11,35,62,78
406,196456,8532,,,,29,0,75,27.3448275862069,22.9506860496104,17,3,8,39,68
406,198199,8532,,,,9,22,57,37.8888888888889,14.146063449282,37,22,23,52,57
406,198809,8507,,,,6,11,78,50.1666666666667,23.6593885522569,55,11,35,62,78
406,198809,8532,,,,29,0,75,27.3448275862069,22.9506860496104,17,3,8,39,68
406,255848,8507,,,,16,53,93,79.1875,12.0787347571396,83,58,72,88,91
406,255848,8532,,,,36,57,96,81.3611111111111,8.21897726615589,82,70,80,86,90
406,257012,8507,,,,388,0,94,28.0386597938144,19.2846500192402,25,5,12,40,56
406,257012,8532,,,,424,0,110,28.8419811320755,19.7305976597036,27,5,13,42,55
406,258780,8507,,,,23,22,67,38.695652173913,12.4587858105643,38,23,27,48,54
406,258780,8532,,,,25,22,73,41.68,14.4358350410821,37,24,35,50,61
406,260139,8507,,,,1243,0,88,14.4666130329847,13.1729901173553,10,2,5,20,33
406,260139,8532,,,,1300,0,67,15.7407692307692,13.6116159476856,12,2,5,24,37
406,261325,8507,,,,28,21,81,42.75,17.5301327877331,39,22,27,55,66
406,261325,8532,,,,49,22,71,43.0408163265306,12.471566300445,41,27,34,52,64
406,313217,8507,,,,79,47,102,66.5316455696203,13.7233055028317,63,50,55,79,86
406,313217,8532,,,,58,48,103,68.948275862069,14.3886193012481,65,50,58,80,90
406,317009,8507,,,,3,21,36,30,7.93725393319377,33,21,21,36,36
406,317009,8532,,,,2,20,32,26,8.48528137423857,20,20,20,32,32
406,317576,8507,,,,142,0,108,54.2957746478873,21.4230566891446,56,23,38,70,81
406,317576,8532,,,,49,3,104,47.8775510204082,26.2715250263643,49,6,28,69,81
406,321042,8507,,,,66,1,103,38.4848484848485,24.2266492963954,36,7,19,54,74
406,321042,8532,,,,72,2,87,37.75,20.1534605423234,38,13,23,50,68
406,372328,8507,,,,995,0,100,4.66331658291457,10.4489855415905,2,0,1,4,6
406,372328,8532,,,,1030,0,75,3.93495145631068,8.26955036936944,2,0,1,4,6
406,375671,8507,,,,127,1,106,29.2755905511811,20.9821077085815,26,6,13,40,54
406,375671,8532,,,,122,1,103,27.7950819672131,18.6077112445841,25,6,12,42,50
406,378001,8507,,,,406,0,93,27.0320197044335,18.9936041050238,24,4,11,40,54
406,378001,8532,,,,446,0,95,25.4618834080717,18.5206142069346,22,5,11,37,52
406,378419,8507,,,,45,68,96,77.1333333333333,5.6108660812586,78,71,73,80,85
406,378419,8532,,,,72,69,90,77.1666666666667,4.88458339365574,77,71,74,81,83
406,380378,8507,,,,19,0,73,18.6842105263158,20.083306034778,12,0,7,30,63
406,380378,8532,,,,11,0,55,24,22.1449768570663,13,0,0,44,54
406,381316,8507,,,,107,21,102,62.6728971962617,15.965632725311,61,44,51,72,86
406,381316,8532,,,,111,21,98,56.9099099099099,20.2172516563767,54,29,41,75,83
406,439777,8507,,,,22,0,82,30.3181818181818,29.4963861606265,18,2,3,59,77
406,439777,8532,,,,78,0,82,35.5769230769231,19.7816123663413,33,8,23,51,63
406,440086,8507,,,,174,7,14,10.3850574712644,2.34730339617021,10,7,8,12,14
406,440086,8532,,,,79,7,14,11.0632911392405,2.15633694712488,11,8,10,13,14
406,440448,8507,,,,96,1,60,25.2604166666667,16.3798623422444,22,5,12,38,48
406,440448,8532,,,,61,1,77,26.2786885245902,17.0412549885476,27,4,10,38,45
406,4001336,8507,,,,37,1,104,26.8108108108108,20.7120976965394,25,4,11,37,53
406,4001336,8532,,,,33,1,76,27.1212121212121,20.9071721781031,20,4,11,39,53
406,4027663,8507,,,,401,24,34,29.1072319201995,2.78854309067989,29,25,27,31,33
406,4027663,8532,,,,401,24,34,29.3815461346633,2.8655817216564,29,25,27,32,34
406,4029498,8507,,,,45,0,73,14.9111111111111,18.2169030176799,11,0,0,14,51
406,4029498,8532,,,,31,0,76,25.1935483870968,21.5938561553029,14,1,7,42,55
406,4035415,8507,,,,30,6,93,30.5666666666667,20.1232124215027,24,8,17,39,51
406,4035415,8532,,,,52,0,86,33.2692307692308,18.4615290346884,33,10,17,46,55
406,4043241,8507,,,,9,47,65,56.3333333333333,6.53834841531101,57,47,51,61,65
406,4043241,8532,,,,10,49,67,57.7,6.1653151672166,56,49,53,63,65
406,4048171,8507,,,,39,2,6,3.35897435897436,1.18070406041167,3,2,2,4,5
406,4048171,8532,,,,40,2,5,3.725,1.15442293276438,4,2,3,5,5
406,4048695,8507,,,,10,5,50,25.4,12.9116656985499,25,5,18,32,32
406,4048695,8532,,,,13,13,78,42.3846153846154,19.0898684365052,41,13,36,52,69
406,4051466,8507,,,,45,2,4,3.02222222222222,0.783027019413323,3,2,2,4,4
406,4051466,8532,,,,51,2,4,3.07843137254902,0.770535846146095,3,2,2,4,4
406,4056621,8532,,,,33,17,57,36.1212121212121,11.5616758510541,37,20,27,44,53
406,4059173,8507,,,,211,0,101,27.345971563981,25.6254843462546,15,3,8,47,68
406,4059173,8532,,,,216,1,108,26.5925925925926,23.1354101041901,17,4,10,38,69
406,4066995,8507,,,,1,16,16,16,,16,16,16,16,16
406,4066995,8532,,,,2,19,28,23.5,6.36396103067893,19,19,19,28,28
406,4084167,8507,,,,57,0,34,6.96491228070175,8.06218003192486,3,0,1,13,17
406,4084167,8532,,,,59,0,47,6.01694915254237,7.86412966318835,1,1,1,11,15
406,4094814,8507,,,,20,3,101,33.9,24.2484942560195,26,9,16,45,70
406,4094814,8532,,,,26,5,59,32,18.0798230079832,35,9,12,45,58
406,4109685,8507,,,,221,1,97,30.2126696832579,18.9879153584214,27,8,15,44,56
406,4109685,8532,,,,227,0,79,26.3568281938326,18.7328797256451,24,3,11,38,52
406,4112343,8507,,,,1284,0,78,13.3473520249221,12.7206658562396,9,1,4,19,32
406,4112343,8532,,,,1322,0,71,12.7624810892587,12.4820967644933,8,1,4,18,31
406,4113008,8507,,,,220,1,90,30.5727272727273,19.2662001290827,30,5,15,42,57
406,4113008,8532,,,,242,1,102,32.2727272727273,20.9706374451224,31,7,14,46,58
406,4116491,8507,,,,16,57,62,59.8125,1.72119144780585,60,58,58,61,62
406,4116491,8532,,,,403,16,63,36.151364764268,10.6726235018102,35,22,28,44,52
406,4132546,8507,,,,12,3,104,28.3333333333333,28.175854696509,15,7,7,37,46
406,4132546,8532,,,,15,1,75,24.9333333333333,23.6476113764059,16,2,5,41,63
406,4134304,8507,,,,199,1,98,25.3417085427136,22.2618444037788,16,3,8,39,63
406,4134304,8532,,,,243,1,90,25.201646090535,23.5192131184047,16,3,8,35,69
406,4142905,8507,,,,115,1,99,27.2086956521739,24.9552215301144,17,3,9,42,71
406,4142905,8532,,,,134,1,105,26.9029850746269,24.7589489868231,15,5,8,43,68
406,4146173,8507,,,,128,1,106,35.7265625,20.3050417864337,36,10,22,46,58
406,4146173,8532,,,,126,1,107,27.7698412698413,19.653055822813,25,4,10,40,55
406,4149245,8507,,,,35,2,88,32.3428571428571,22.7969849104745,30,7,12,46,67
